date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:45:41	1490/1490	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Jan%202025%2018:45:44%20GMT	https://yumiraglory-apps.vercel.app/robots.txt		(from )
01:45:41	10247/10247	---MCZ	200	added ('OK')	text/html	etag:W/%225b957d38678ed334fe42d66ea5f67d2e%22	https://yumiraglory-apps.vercel.app/	C:/My%20Web%20Sites/digitali/yumiraglory-apps.vercel.app/index.html	(from )
01:45:41	7127/7127	---MCZ	200	added ('OK')	text/css	etag:W/%225b18d7f9e0d0c29d12151e11c17fbebb%22	https://yumiraglory-apps.vercel.app/styles.css	C:/My%20Web%20Sites/digitali/yumiraglory-apps.vercel.app/styles.css	(from https://yumiraglory-apps.vercel.app/)
01:45:41	33932/33932	---M--	200	added ('OK')	image/jpeg	etag:%2268eab9fb640e9ec0e8a2bb37a47f7ec2%22	https://yumiraglory-apps.vercel.app/kucing.jpg	C:/My%20Web%20Sites/digitali/yumiraglory-apps.vercel.app/kucing.jpg	(from https://yumiraglory-apps.vercel.app/)
01:45:42	9717/9717	---M--	200	added ('OK')	image/png	etag:%2229cce7f58946191919b08033bb2a0b65%22	https://images.ctfassets.net/4cd45et68cgf/Rx83JoRDMkYNlMC9MKzcB/2b14d5a59fc3937afd3f03191e19502d/Netflix-Symbol.png?w=700&h=456	C:/My%20Web%20Sites/digitali/images.ctfassets.net/4cd45et68cgf/Rx83JoRDMkYNlMC9MKzcB/2b14d5a59fc3937afd3f03191e19502d/Netflix-Symbold414.png	(from https://yumiraglory-apps.vercel.app/)
01:45:42	31279/31279	---M--	200	added ('OK')	image/png	etag:%2222ca74c0a225a5e418e2a670b37c6d3c%22	https://static.vecteezy.com/system/resources/previews/042/127/122/non_2x/red-circle-bordered-youtube-logo-with-long-shadow-on-transparent-background-free-png.png	C:/My%20Web%20Sites/digitali/static.vecteezy.com/system/resources/previews/042/127/122/non_2x/red-circle-bordered-youtube-logo-with-long-shadow-on-transparent-background-free-png.png	(from https://yumiraglory-apps.vercel.app/)
01:45:42	23231/23231	---M--	200	added ('OK')	image/jpeg	etag:%2249104dd00a47359a2dcafad0ac6a792a%22	https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//91/MTA-73347112/amazon_-terlaris-_amazon_prime_video_1_tahun_termurah_full_garansi_full01_s28nbkh2.jpg	C:/My%20Web%20Sites/digitali/www.static-src.com/wcsstore/Indraprastha/images/catalog/full/91/MTA-73347112/amazon_-terlaris-_amazon_prime_video_1_tahun_termurah_full_garansi_full01_s28nbkh2.jpg	(from https://yumiraglory-apps.vercel.app/)
01:45:43	32865/32865	---M--	200	added ('OK')	image/jpeg	etag:%22d0bdd33fcd643878a79b69aa6eb24661%22	https://static.vecteezy.com/system/resources/previews/021/059/825/non_2x/chatgpt-logo-chat-gpt-icon-on-green-background-free-vector.jpg	C:/My%20Web%20Sites/digitali/static.vecteezy.com/system/resources/previews/021/059/825/non_2x/chatgpt-logo-chat-gpt-icon-on-green-background-free-vector.jpg	(from https://yumiraglory-apps.vercel.app/)
01:45:43	13070/13070	---M--	200	added ('OK')	image/jpeg	etag:%22988827ba70ba45ec5fb9c36423d8d09e%22	https://static.vecteezy.com/system/resources/previews/013/433/620/non_2x/qris-application-icon-design-on-white-background-free-vector.jpg	C:/My%20Web%20Sites/digitali/static.vecteezy.com/system/resources/previews/013/433/620/non_2x/qris-application-icon-design-on-white-background-free-vector.jpg	(from https://yumiraglory-apps.vercel.app/)
01:45:43	14580/14580	---M--	200	added ('OK')	image/png	etag:%2238f4-5e2d3e86a67d2;6272dfb6fac35%22	https://clipground.com/images/dana-logo-5.png	C:/My%20Web%20Sites/digitali/clipground.com/images/dana-logo-5.png	(from https://yumiraglory-apps.vercel.app/)
01:45:44	76091/76091	---MCZ	200	added ('OK')	text/plain	date:Wed,%2029%20Jan%202025%2018:43:59%20GMT	https://static.vecteezy.com/ti/vetor-gratis/p3/13109754-simbolo-do-elemento-shopee-shopeepay-icone-shopeepay-gratis-vetor.jpg	C:/My%20Web%20Sites/digitali/static.vecteezy.com/ti/vetor-gratis/p3/13109754-simbolo-do-elemento-shopee-shopeepay-icone-shopeepay-gratis-vetor.jpg	(from https://yumiraglory-apps.vercel.app/)
01:45:44	18321/18321	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Jul%202022%2001:14:12%20GMT	https://timorplaza.com/sites/default/files/styles/store_logo/public/BRI.jpg?itok=jaZpFJ_h	C:/My%20Web%20Sites/digitali/timorplaza.com/sites/default/files/styles/store_logo/public/BRIbede.jpg	(from https://yumiraglory-apps.vercel.app/)
01:45:44	35308/35308	---M--	200	added ('OK')	image/png	etag:162aaf57c64bd732a87c2d553a12f165	https://upload.wikimedia.org/wikipedia/commons/5/57/Binance_Logo.png	C:/My%20Web%20Sites/digitali/upload.wikimedia.org/wikipedia/commons/5/57/Binance_Logo.png	(from https://yumiraglory-apps.vercel.app/)
